"Timestamp","Type","Value"
"2022-10-04 06:35:06","Overall Feeling","7"
"2022-10-04 06:35:06","Sickness","5"
"2022-10-04 06:35:06","Sleep Hours","9.00"
"2022-10-04 06:35:06","Sleep Qualilty","5"
"2022-10-04 06:35:06","Soreness","7"
"2022-10-04 06:35:06","Stress","3"
"2022-10-04 06:35:06","Weight Kilograms","61.50"
"2022-10-04 06:35:06","Yesterday's Training","3"
"2022-10-05 09:14:25","Fatigue","4"
"2022-10-05 09:14:25","Overall Feeling","6"
"2022-10-05 09:14:25","Sleep Hours","10.00"
"2022-10-05 09:14:25","Sleep Qualilty","5"
"2022-10-05 09:14:25","Soreness","6"
"2022-10-05 09:14:25","Stress","1"
"2022-10-05 09:14:25","Yesterday's Training","2"
"2022-10-10 07:16:23","Fatigue","4"
"2022-10-10 07:16:23","Overall Feeling","5"
"2022-10-10 07:16:23","Sickness","5"
"2022-10-10 07:16:23","Sleep Hours","10.00"
"2022-10-10 07:16:23","Sleep Qualilty","5"
"2022-10-10 07:16:23","Soreness","4"
"2022-10-10 07:16:23","Stress","3"
"2022-10-10 07:16:23","Yesterday's Training","4"
"2022-10-11 06:34:04","Fatigue","4"
"2022-10-11 06:34:04","Overall Feeling","6"
"2022-10-11 06:34:04","Sleep Hours","9.00"
"2022-10-11 06:34:04","Sleep Qualilty","5"
"2022-10-11 06:34:04","Soreness","7"
"2022-10-11 06:34:04","Weight Kilograms","61.60"
"2022-10-11 06:34:04","Yesterday's Training","2"
"2022-10-12 07:15:21","Fatigue","4"
"2022-10-12 07:15:21","Overall Feeling","6"
"2022-10-12 07:15:21","Sleep Hours","9.50"
"2022-10-12 07:15:21","Sleep Qualilty","5"
"2022-10-12 07:15:21","Soreness","7"
"2022-10-12 07:15:21","Yesterday's Training","3"
"2022-10-13 07:02:15","Fatigue","5"
"2022-10-13 07:02:15","Overall Feeling","5"
"2022-10-13 07:02:15","Sleep Hours","8.50"
"2022-10-13 07:02:15","Sleep Qualilty","4"
"2022-10-13 07:02:15","Soreness","8"
"2022-10-13 07:02:15","Yesterday's Training","1"
"2022-10-20 06:52:24","Fatigue","4"
"2022-10-20 06:52:24","Injury","7"
"2022-10-20 06:52:24","Menstruation","3"
"2022-10-20 06:52:24","Overall Feeling","6"
"2022-10-20 06:52:24","Sickness","5"
"2022-10-20 06:52:24","Sleep Hours","9.00"
"2022-10-20 06:52:24","Sleep Qualilty","5"
"2022-10-20 06:52:24","Soreness","6"
"2022-10-20 06:52:24","Stress","4"
"2022-10-20 06:52:24","Yesterday's Training","3"
"2022-10-21 06:42:30","Fatigue","4"
"2022-10-21 06:42:30","Overall Feeling","6"
"2022-10-21 06:42:30","Sleep Hours","9.50"
"2022-10-21 06:42:30","Sleep Qualilty","5"
"2022-10-21 06:42:30","Soreness","4"
"2022-10-21 06:42:30","Stress","4"
"2022-10-21 06:42:30","Yesterday's Training","2"
"2022-10-24 06:41:49","Fatigue","4"
"2022-10-24 06:41:49","Injury","8"
"2022-10-24 06:41:49","Overall Feeling","7"
"2022-10-24 06:41:49","Sickness","5"
"2022-10-24 06:41:49","Sleep Hours","9.50"
"2022-10-24 06:41:49","Sleep Qualilty","5"
"2022-10-24 06:41:49","Soreness","2"
"2022-10-24 06:41:49","Stress","3"
"2022-10-24 06:41:49","Weight Kilograms","61.50"
"2022-10-24 06:41:49","Yesterday's Training","4"
"2022-10-26 05:54:14","Fatigue","4"
"2022-10-26 05:54:14","Overall Feeling","7"
"2022-10-26 05:54:14","Sleep Hours","8.50"
"2022-10-26 05:54:14","Sleep Qualilty","5"
"2022-10-26 05:54:14","Soreness","4"
"2022-10-26 05:54:14","Stress","3"
"2022-10-26 05:54:14","Weight Kilograms","60.80"
"2022-10-26 05:54:14","Yesterday's Training","3"
"2022-10-27 06:47:42","Fatigue","5"
"2022-10-27 06:47:42","Overall Feeling","5"
"2022-10-27 06:47:42","Pulse","62"
"2022-10-27 06:47:42","Sleep Hours","9.83"
"2022-10-27 06:47:42","Sleep Qualilty","5"
"2022-10-27 06:47:42","Soreness","8"
"2022-10-27 06:47:42","Stress","5"
"2022-10-27 06:47:42","Yesterday's Training","3"
